,geo,pps_per_inhabitant_million_euros,available_hospital_beds_per_100k,real_labour_productivity_per_person_employed_2019_base_year,railway_km_per_square_km,raw_milk_on_farms,pop_density_per_square_km,percentage_of_population_at_risk_poverty,net_migration_per_capita,count_of_all_crime_per_100k,percentage_individuals_regularly_using_internet,average_age_for_people_above_18,F.M_ratio,disposable_income_avg,gross_income_per_capita,employment_rate,proportion_with_higher_educ
117,FR10,759581.81,530.11,104.2,153,42.43,1026.8,NA,-43771,5067.61,89.38,47.13978143,1.106912768,262757.68,33200,68.35,0.48287928
118,FRB0,75797.28,595.88,102.9,51,437.62,65.4,NA,-779,2282.81,85.34,51.80990185,1.091341231,46751.8,21300,66.75,0.298324581
119,FRC1,47846.13,689.87,103.2,52,344.22,51.3,NA,-90,2338.44,86.28,52.62324319,1.094671287,28804.11,20500,67.75,0.304173957
120,FRC2,31823.95,564.42,102.5,55,1298.35,72.6,NA,-1145,2011.1,82.55,50.97371868,1.065074389,21243.3,21200,66.25,0.278819705
121,FRD1,40951.65,604.83,98.8,37,3151.31,82.6,NA,1,1743.25,82.25,52.23199009,1.096098477,25941.64,20100,66.25,0.26525
122,FRD2,55677.32,557.75,97.8,60,863.2,151.2,NA,-3457,2619.64,84.18,50.21728637,1.10582139,33045.77,21300,63.1,0.27125
123,FRE1,118672.52,587.73,102.6,107,1497.88,327.4,NA,-12724,3192.45,81.93,48.82643358,1.105159203,64598.32,19400,58.35,0.309327332
124,FRE2,51148.24,573.75,101.3,74,947.28,99.4,NA,-3381,2633.02,84.66,49.87936434,1.080712498,34122.78,20800,62.45,0.264683829
125,FRF1,63449.24,585.66,103.7,89,342.16,230.6,NA,1223,1985.94,83.4,49.71536664,1.077079634,34076.78,23500,68.85,0.340664834
126,FRF2,39531.21,563.83,103.3,57,649.18,51.5,NA,-3649,2673.45,83.17,50.77774477,1.085541328,22684.01,20400,61.65,0.259
127,FRF3,60895.17,612.88,102.3,67,1339.42,98.6,NA,-2465,2114.45,86.26,50.57153729,1.074605301,40360.44,20900,64.55,0.31625
128,FRG0,121828.95,498.71,102,43,3893.02,118.3,NA,12797,3012.67,89.09,50.67895203,1.083012286,66678.21,21200,67.5,0.332083021
129,FRH0,101999,588.23,103.7,41,5625.39,122.4,NA,13608,2018.14,90.57,51.5778591,1.087191179,59146.13,20800,67.25,0.352176088
130,FRI1,109435.62,604.87,102,34,418.27,83.9,NA,23546,3266.57,87.73,51.60874346,1.114188412,61804.67,21600,67.2,0.336668334
131,FRI2,19652.81,791.29,102.8,47,130.71,42.9,NA,1799,1770.85,86.06,53.66393926,1.108476422,13027.71,19700,66.9,0.315342329
132,FRI3,52775.26,535.69,102.9,44,550.21,70,NA,6003,2477.43,89.44,52.94839928,1.100529146,32784.12,20000,68,0.289
133,FRJ1,76643.58,649.87,101.7,42,68.06,104.4,NA,17500,3910.02,82.52,51.85362055,1.121908336,47335.82,18800,59.9,0.325
134,FRJ2,101647.17,608.09,102.9,30,661.01,67.8,NA,15393,3153.2,86.21,51.04293879,1.080243883,54655.6,21900,68.1,0.422144464
135,FRK1,39936.44,717.59,106.4,39,1173.71,52.6,NA,4056,2230.25,81.2,52.4755595,1.087536167,25232.04,20800,67.35,0.297574394
136,FRK2,242311.15,564.14,103.7,58,1560.29,150.9,NA,13486,3638.7,88.79,49.57962625,1.086075719,123046.21,24200,69.2,0.39625
137,FRL0,170235.75,685.85,101.6,42,24.87,162.4,NA,10699,4251.42,88.53,51.779981,1.130353764,93340.21,22700,63.5,0.36284071
138,FRM0,9631.4,599.88,100.6,27,0,39.6,NA,3956,1644.68,81.05,51.99265429,1.085661878,5777.37,21300,67.9,0.253436641
139,FRY1,9854,579.51,108.2,0,0,247,NA,-4857,2801.8,74.94,50.78256946,1.246465875,5827.87,16500,50.3,0.22325
140,FRY2,8872.7,518.1,104.7,0,0.23,328.6,NA,-3807,2749.62,82.27,52.08185012,1.238138749,5491.49,18700,57.75,0.236
141,FRY3,4430.51,352.5,84.4,0,0.06,3.4,NA,-965,3670.59,78.98,41.33052685,1.08810779,2760.77,11400,43.85,0.19825
142,FRY4,19366.54,399.24,115.9,0,18.49,345.7,NA,-4849,1619.99,71.4,46.73139988,1.143297175,12868.28,16700,46.75,0.20875
143,FRY5,2678.67,136.18,96,0,2.4,750.8,NA,-57,1939.19,NA,37.83789591,1.184814365,1719.28,7600,35.9,NA
144,HR03,17825.43,545.58,102.4,32,36,56,16.1,6601,841,81.99,51.15798086,1.091616109,14516.65,7900,60.35,0.255
145,HR04,NA,NA,NA,58,563,85.8,19.4,-10378,683.27,74.7,49.83789644,1.107919458,NA,NA,NA,NA
146,HU11,54785.49,1004.37,109.8,390,1.79,3433.8,10.4,12642,1104.21,86.17,49.13731713,1.183087811,31054.31,13600,74.25,0.44636159
147,HU12,15287.32,260.72,106.4,76,149.64,205.1,13.3,13565,531.56,83.21,48.50076293,1.087772488,14768.78,9300,72,0.257
148,HU21,14654.59,678.62,106.3,104,298.59,99.1,6.5,3957,417.2,85.05,49.34511015,1.074940086,12558.34,9300,71.7,0.2005
149,HU22,14424.99,707.9,102,81,293.45,88.6,12.7,6752,543.09,76.62,49.62821301,1.085805028,11071.21,8600,73.75,0.207
150,HU23,8934.33,723.31,109.4,79,249.23,63.7,14.7,1202,639.27,77.33,50.22808609,1.117679004,8692.49,7300,65.4,0.169792448
151,HU31,11177.39,741.49,107.2,73,138.91,84.4,14.3,-1692,760.33,75.18,49.37576779,1.112498937,10229.08,6800,66.05,0.158289572
152,HU32,13919.89,645.21,108.6,82,456.78,83.1,15.8,-2780,546.11,76.14,48.53904919,1.089817793,13740.08,7100,66.4,0.177794449
153,HU33,13370.53,675.23,105.6,70,374.39,68.1,11.1,2673,534.55,76.46,50.0012307,1.109165673,12807.14,7800,69.55,0.2013993
154,ITC1,137773.32,346.77,102,75,864.37,172.3,13.4,10269,2031.62,76.53,53.22342432,1.079418305,87192.01,22900,66.05,0.183045761
155,ITC2,4860.99,359.01,100.4,25,85.33,38.6,6.1,204,817.33,75.81,52.57041334,1.065073379,2428.09,21900,68.4,0.17825
156,ITC3,50105.22,351.56,99.4,91,109.45,284.3,13.4,6095,2092,75.96,54.70247749,1.113876692,30424.95,21800,63.35,0.208343742
157,ITC4,397959.74,350.53,100.5,75,5007.89,435.8,11.9,42051,2504.13,78.8,51.83897814,1.062726352,216522.62,26400,68.3,0.201350675
158,ITF1,33169.52,293.07,100.5,49,87.01,120.5,19.5,2494,1376.01,70.68,52.21261898,1.067892474,20068.46,16500,58.3,0.194701325
159,ITF2,6576.39,300.18,102.2,60,49.73,68.2,26.5,339,1133.34,65.13,52.31509653,1.045038771,4236.18,14500,54.65,0.181545386
160,ITF3,111173.73,252.21,99.3,80,308.36,422.2,41.2,-5977,2426.41,65.56,49.34540051,1.074785091,73133.09,13300,41.6,0.146463384
161,ITF4,77182.8,283.3,99.1,43,265,206.8,30.4,-2261,2212.7,64.05,51.02138992,1.077473143,54520.76,13900,46.5,0.143178411
162,ITF5,12886.86,288.35,100.3,35,85.12,55.7,27.1,-603,760.49,65.92,51.60639525,1.050913714,7597.58,14200,50.75,0.159
163,ITF6,33502.12,248.18,101.7,56,99.22,126.5,30.9,-990,1139.63,63.75,50.75735166,1.058024985,24292.74,12200,42.05,0.14875
164,ITG1,89523.88,281.95,100,53,253.63,192.1,41.4,-7300,1992.06,69.49,50.56664547,1.079377666,64613.91,12900,41.4,0.132716821
165,ITG2,35447.99,301.25,96.6,18,237.39,68.3,22.9,814,1068.14,70.27,52.27674229,1.051153224,23738.54,14700,53.8,0.165
166,ITH1,25743.17,349.97,98.8,48,443.55,72.2,9.5,2101,1585.48,78.07,50.22006217,1.042069752,12772.38,29100,74.05,0.15796051
167,ITH2,21463.65,347.06,101.5,NA,190.66,88.2,8,1990,1312.63,80.71,51.54604166,1.05876206,10757.82,23000,68.45,0.20125
168,ITH3,166071.92,328.97,99.7,68,1099.51,282,8.7,16624,1794.32,75.8,52.07213985,1.062673619,94292.25,22700,67.5,0.184296074
169,ITH4,39333.14,326.82,101.9,62,217.41,159.9,8.4,5201,1265.6,80.17,53.55326521,1.076112727,24214.54,22400,66.55,0.197
170,ITH5,162762.66,371.56,99.9,60,2523.87,201.9,10.9,24302,2571.01,80.65,52.63894874,1.078038727,95508.26,24900,70.45,0.2175
171,ITI1,121886.82,285.45,102.2,65,88.95,162.7,14.3,15523,2497.45,79.23,53.20945254,1.094270275,70957.51,21600,67,0.1987997
172,ITI2,23087.4,302.88,99.8,45,72.22,105.5,9.8,2124,1709.76,73.65,53.18684401,1.097031589,15597.48,19100,64.7,0.2095
173,ITI3,42924.5,301.75,98.8,41,48.42,161.9,13.6,2913,1230.27,75.69,52.84974787,1.07891928,27365.53,19800,65,0.20375
174,ITI4,201976.72,338.37,99.5,72,357.33,343,17.2,18822,2965.3,75.81,51.49559228,1.096911935,107696.24,22000,61.3,0.247876062
175,LT01,20803.62,682.02,106.1,NA,48.8,86.6,15.9,9343,1023.26,81.55,48.45817126,1.242313215,15000.53,14100,79.3,0.52575
176,LT02,28155.54,615.13,114.5,NA,1498.6,37.2,22.5,714,951.18,80.34,50.58429119,1.218111878,27980.02,9900,70.35,0.351662084
177,LU00,62431.53,NA,96.9,105,421.26,239.8,NA,10190,2267,92.59,46.81804269,0.997937388,16383.57,40800,67.85,0.440389903
178,LV00,30531.34,NA,110.1,29,978.9,30.2,NA,-3941,1069.98,83.72,50.39272252,1.229715195,21734.08,9800,72.3,0.33275
179,MT00,14273.97,NA,104.3,NA,41.27,1595.1,NA,12757,1876.77,85.1,47.56159322,0.961177874,NA,NA,71.2,0.28475
180,NL11,24848.33,NA,90.4,72,961,247.9,18.7,1967,2222.48,89.52,48.3648459,1.012508133,9877.99,24800,72.3,0.350574713
181,NL12,21205.64,NA,100,44,2739,191,13.6,1099,1523.61,94.3,50.83119128,1.004805612,11159.59,25200,78.35,0.305597201
182,NL13,15716.94,NA,99.5,38,971,184.5,12.6,1631,1735.58,96.13,52.14021764,1.02723156,8569.92,25900,77.45,0.31207802
183,NL21,45727.61,NA,100.9,94,2334,344.9,13,3632,1801.49,94.71,49.53695419,1.003036574,19827.7,26300,78.9,0.319
184,NL22,82080.47,NA,100.5,108,2140,415.8,12.1,11508,1949.68,94.21,50.02845343,1.033724258,37062.3,27900,78,0.34925
185,NL23,14535.98,NA,99.4,47,313,292.5,12.2,1589,2289.54,94.46,47.08713319,1.016253154,7378.82,28200,78.95,0.300174956
186,NL31,76995.51,NA,101,142,865,934.6,12.4,8638,2367.25,97.76,47.95792687,1.05827438,25817.33,33400,80.75,0.491877031
187,NL32,179531.33,NA,105,125,813,1041.2,13.2,24148,3288.09,97.42,48.43491986,1.042056066,55676.7,32500,78.8,0.451862966
188,NL33,169015.98,NA,96.5,155,837,1292.2,15,27619,2503.98,94.42,48.56512374,1.042012674,66754.33,29300,76.85,0.380595149
189,NL34,14237.66,NA,99.4,57,207,212.6,12.5,1515,1423.12,93.21,51.98763132,1.029709113,6747.84,26900,79.15,0.274431392
190,NL41,121243.84,NA,101.5,73,1940,514.8,11.4,16678,2275.77,95.96,49.84413467,1.006013499,46745.62,29400,80.1,0.355588897
191,NL42,46139.21,NA,101.1,112,436,517.7,12.4,5362,2603.08,96.18,51.62388286,1.023607955,19406.76,26000,75.75,0.313828457
192,PL21,43082.35,623.25,115.6,72,293,224,16,3736,372.41,NA,47.73551077,1.087889636,44033.63,8400,67.85,0.319829957
193,PL22,64357.59,629.62,117,158,278,368.8,10.7,-2661,530.78,NA,49.13048757,1.098866874,67259.96,9100,66.25,0.293
194,PL41,52705.98,427.37,114.8,64,2021,117.9,14.6,1175,399.59,NA,47.61576085,1.082813455,48772.61,9100,70.7,0.269067267
195,PL42,19593.55,1182.45,110,54,167,76.6,12.7,-546,569.44,NA,48.60238371,1.080008834,22144.64,8100,66.25,0.278110945
196,PL43,11400.89,477.67,111.4,67,87,72.6,11.6,-599,691.52,NA,48.12233242,1.073291185,11881.84,7400,67.6,0.242189453
197,PL51,43971.91,734.19,112.7,87,186,144.9,11,2592,889.72,NA,48.86403249,1.106269664,40792.85,9200,70.65,0.330167458
198,PL52,10795.94,491.24,114.2,84,286,101.4,14.6,-534,465.31,NA,48.94087012,1.085229103,11841.04,7400,68.85,0.247811953
199,PL61,22896.82,864.16,113.5,75,1086,116.8,19.7,-1550,445.85,NA,48.16280884,1.091638754,24806.51,7500,66.3,0.232691827
200,PL62,13541.12,556.59,109,50,1062,61.1,19.9,-2369,449.78,NA,47.71351363,1.068677537,16409.46,7100,63.6,0.2275
201,PL63,31544.32,520.12,116,67,383,130.6,12.8,3411,608.7,NA,47.76428351,1.081835181,30992.01,8600,71.2,0.323419145
202,PL71,32122.01,527.34,117,60,1128,135.2,14.3,-1363,520.27,NA,49.3957064,1.1313747,33353.54,8600,69.15,0.274431392
203,PL72,12270.33,762.95,113.3,62,224,105.1,18.1,-1964,283.95,NA,49.06062768,1.070990256,14222.77,7000,65.35,0.283
204,PL81,20048.65,595.19,116.3,39,831,84,26.5,-4392,240.93,NA,48.42924066,1.087305408,24159.6,7000,64.65,0.294397199
205,PL82,20817.75,675.69,115.1,55,166,117.8,19.4,-1823,229.61,NA,47.5856126,1.061234026,22507.54,6600,63.7,0.27625
206,PL84,11820.78,558.95,117.8,38,2906,57.5,18.8,-1576,349.2,NA,48.39538775,1.073662461,13117.38,7000,68.2,0.311327832
207,PL91,93425.71,580.43,123.2,NA,166,510.2,11.5,16085,834.31,NA,48.97714701,1.178791381,63732.44,14400,77.45,0.528132033
208,PL92,28109.47,410.09,119.8,NA,3233,79.5,19.8,-4312,366.88,NA,47.89092764,1.058202869,31027.37,8400,66.45,0.24656164
209,PT11,63524.58,334.36,105.7,21,760.65,169.3,18.3,6961,1457.2,67.01,50.68244331,1.135801462,45571.57,11100,69.05,0.21925
210,PT15,10239.8,273.58,100.5,35,0.47,88.9,18.7,3163,2788.56,74.28,51.38454961,1.101808891,7746.09,14700,72.75,0.207051763
211,PT16,40027.7,NA,106.9,34,214.39,79.2,17.3,8404,1146.32,71.44,53.09491462,1.140064162,30318.29,11300,71.55,0.237
212,PT17,77439.68,NA,98.1,98,80.8,1015.9,13.3,21050,1905.29,82.5,50.13850474,1.177548946,48140.57,15900,72.1,0.334582709
213,PT18,13373.23,NA,100.7,23,263.39,22.7,17.9,168,1187.28,67.3,53.47943429,1.099742797,9871.82,11900,69.65,0.192951762
214,PT20,4487.27,611.15,107.5,NA,653.83,105.3,31.8,-161,1504.24,75.31,47.70517986,1.071680148,3439.16,12100,65.6,0.129217696
215,PT30,5126.38,767.81,104.2,NA,1.95,318,27.8,505,1091.97,74.49,49.90014935,1.176166185,3516.04,11300,67.85,0.19575
216,RO11,27394.5,732.38,131,49,680.9,75,14.7,-6519,742.48,80.33,48.34137544,1.070426462,29734.52,6500,66.9,0.17575
217,RO12,25222.8,728.07,118.2,39,682.1,68.2,21.2,-7280,805.6,69.91,49.07660023,1.059605734,26540.8,6400,60.1,0.1705
218,RO21,23631.89,664.57,103.9,44,878.4,87.5,41.1,-14317,953.98,68.96,48.85180487,1.027140007,28845.45,4300,72.85,0.108
219,RO22,22188.95,622.8,114.6,52,362.2,70.9,31.1,-14488,1239.43,65.79,50.06839443,1.056954882,24281.03,5400,60.2,0.13025
220,RO31,25528.39,516.39,98.8,37,418.3,86.1,26,-17698,880.66,68.54,50.32902686,1.050628924,28500.77,5000,64.6,0.12093953
221,RO32,61660.45,1025.84,135.3,159,10.7,1321.9,2.9,3090,1558.63,74.92,47.79782302,1.172190815,49532.04,14500,72.55,0.385153712
222,RO41,17297.53,674.44,103.4,35,337.6,66.9,31.6,-12191,859.43,69.4,50.30611302,1.04802389,19086.44,5000,63.8,0.144536134
223,RO42,21097.13,750.7,133.7,59,293,55.7,14.7,-4143,1014.42,76.03,48.82814293,1.072708164,22946.59,7400,60.45,0.153711572
224,SE11,152085.63,204.09,103.9,64,21.78,361.8,13.1,16008,6204.58,95.39,47.29052101,1.015135608,48082.95,32900,79.5,0.49475
225,SE12,67417.49,210.4,99.5,47,416.52,44.7,16.5,12894,5177.94,96.38,49.52915336,1.001042966,28646.11,24200,75.2,0.39175
226,SE21,33883.5,219.3,101.8,34,787.09,26.2,15.6,5889,4053.99,95.49,50.65896759,0.985004054,14242.95,23800,78.75,0.347413147
227,SE22,60916.3,201.65,102.6,64,355.25,110.1,22.9,11721,5741.1,94.23,49.35603361,1.015381868,26016.89,24600,73,0.423605901
228,SE23,92036.49,195.36,100.6,50,691.61,70.1,17.6,13747,5297.95,96.02,49.26061606,1.00211554,36143.68,26600,79.15,0.397650587
229,SE31,31873.36,204.2,101.5,27,171.61,13.5,17.4,4150,4422.61,91.1,51.59144989,0.993564117,13962.41,22600,75.35,0.315671082
230,SE32,14869.4,227.69,100.2,22,110.54,5.3,23.6,1218,4271.93,96.31,51.5913476,0.98622451,6151.72,23100,76.2,0.348238821
231,SE33,23688.47,240.2,103.6,13,149.98,3.4,15.1,1044,3537.11,98.36,50.2942904,0.967683475,8652.09,24000,75.8,0.372343086
232,SK01,26559.8,715.17,102.8,117,41.82,328.8,4.3,5549,771.23,80.46,48.3075279,1.141363807,12122.5,18700,77.2,0.432608152
233,SK02,29245.01,471.62,105.4,81,453.38,123,7.4,830,343.57,84.03,48.33656613,1.06498281,19743.53,9900,70,0.212946763
234,SK03,18798.56,583.78,103.9,66,235.03,82.7,15.6,-1200,383.28,79.91,47.55087689,1.06769139,14844.74,10000,68.05,0.221194701
235,SK04,19826.37,630.22,103,72,174.02,103.9,17,-1743,372.63,81.92,46.51409124,1.056865929,15786.69,7900,63.25,0.224556139