"year.x","geo","regionname.x","weighted_avg_left_right","purchasing_power_standard_per_inhabitant","real_labour_productivity_per_person_employed_2019_base_year","raw_milk_on_farms","pop_density_per_square_km","net_migration_per_capita","count_of_all_crime_per_100k","average_age_for_people_above_18","F.M_ratio","disposable_income_avg","gross_income_per_capita","employment_rate","proportion_with_higher_educ","fertility_rate","poverty_rate","life_expectancy","gender_employment_gap_proportion","total_votes","total_weighted_score","log_raw_milk_on_farms","log_pop_density","log_fertility_rate","log_disposable_income","poverty_rate_squared","poverty_rate_cubed","poverty_rate_fourth"
2019,"AT11","Burgenland",5.55002465798089,27600,101.5,28.05,77.8,0.00316194175115201,1315.8,51.7666503060517,1.05625943565405,6390.49,27500,71.9,0.299350324837581,1.39,0.146,81.9,0.102,150284,834079.9057,3.33434507467432,4.35426995762884,0.336472236621213,8.76256779157177,0.021316,0.003112136,0.000454371856
2019,"AT12","Niederösterreich",5.72453789284542,33000,104.2,741.6,88.9,0.000980530311808692,1778.08,50.5858412272613,1.0507012697547,36941.78,29300,74.4,0.3125,1.5,0.125,81.7,0.089,840916,4813855.5067,6.60882349851888,4.48762462213305,0.412109650826833,10.5170987095365,0.015625,0.001953125,0.000244140625
2019,"AT13","Wien",4.98527300713402,46200,99.9,0,4808.9,0.0066714413928709,4783.99,47.1298933926375,1.07661170268371,37613.67,26700,67.1,0.4065,1.35,0.275,81.1,0.08,654610,3263409.5632,-4.60517018598809,8.47822572619299,0.307484699747961,10.5351230929952,0.075625,0.020796875,0.005719140625
2019,"AT21","Kärnten",5.59767288555412,33700,104.8,234.6,59.9,0.00144907523239646,1717.66,51.4228938879366,1.07241733850505,11549.33,26200,72.2,0.2985,1.4,0.174,82.2,0.108,220838,1236178.8847,5.45792456105687,4.09284343609583,0.343589704390077,9.35438357146008,0.030276,0.005268024,0.000916636176
2019,"AT22","Steiermark",5.67038885784228,36000,103.3,577.48,76.6,0.00114721066430964,1703.95,50.138547911588,1.0418278657857,26104.08,27400,74.7,0.291854072963518,1.41,0.176,82.2,0.092,531459,3013579.192,6.35869112622871,4.33872761652873,0.350656871613169,10.1698472860147,0.030976,0.005451776,0.000959512576
2019,"AT31","Oberösterreich",5.54429231203434,40300,103.5,1191.36,126.8,0.00136063151297298,1771.6,49.4043914213404,1.03072113017587,31861.52,29200,77.1,0.3065,1.6,0.116,82.3,0.08,666119,3693158.4506,7.08285918441759,4.84268990324681,0.476234178996372,10.3691546049099,0.013456,0.001560896,0.000181063936
2019,"AT32","Salzburg",5.62603625305342,47000,104.2,389.53,78.9,0.00192573964370734,2666.86,49.2663882331578,1.06535206430827,12045.52,29700,77.2,0.315157578789395,1.58,0.144,82.8,0.079,221882,1248316.1759,5.96496655580175,4.36830796253294,0.46373401623214,9.39644891574137,0.020736,0.002985984,0.000429981696
2019,"AT33","Tirol",5.62348735232505,42100,101.1,430.74,60.4,0.00142628244444129,2200.74,48.746241389782,1.04664018362743,15835.85,29100,76.5,0.288855572213893,1.46,0.163,83,0.086,282123,1586515.1223,6.06552787540804,4.10115465415065,0.385262400790645,9.67003226757063,0.026569,0.004330747,0.000705911761
2019,"AT34","Vorarlberg",5.51651245578628,42000,100.6,188,156.3,0.00290249960431869,2213.31,48.7292576281949,1.03015277405521,8792,31900,77.1,0.273,1.68,0.219,83.3,0.103,142207,784486.6868,5.23649515290469,5.05184121490738,0.524728528934982,9.08159863348044,0.047961,0.010503459,0.002300257521
2019,"BE10","Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest",3.72013318206187,63400,101.2,0,7526.7,0.00546454382455531,7674.9,45.5333417365092,1.06076949154035,21299.83,24600,56.9,0.4395,1.7066,0.378,81.6,0.114,397299,1478005.1931,-4.60517018598809,8.92621330632632,0.540345590301982,9.96645483993221,0.142884,0.054010152,0.020415837456
2019,"BE21","Prov. Antwerpen",6.193443940365,43400,100.2,825.93,665.8,0.0015406328368084,3427.34,49.7650026751734,1.03064377482982,36594.23,28300,69.3,0.378,1.66272,0.162,83,0.102,1046969,6484343.8088,6.71652213165744,6.50100434455352,0.514451043981031,10.5076461299552,0.026244,0.004251528,0.000688747536
2019,"BE22","Prov. Limburg (BE)",6.49978709293954,29700,99.9,360.58,367.5,0.000958302965783007,2162.39,50.4930214896923,1.01983064566341,16667.57,26000,68.1,0.3515,1.49946,0.129,83.3,0.062,477816,3105702.2696,5.88774157882618,5.90675052916704,0.41175197097298,9.72122079424071,0.016641,0.002146689,0.000276922881
2019,"BE23","Prov. Oost-Vlaanderen",6.39133495300521,33500,98.9,743.66,512.3,0.000937265963813269,2823.01,49.9356316908776,1.04069612048805,31176.12,30000,71.5,0.3925,1.5072,0.132,82.6,0.07,888822,5680759.1156,6.61159738804931,6.23892991056726,0.416866530832607,10.3474080168841,0.017424,0.002299968,0.000303595776
2019,"BE24","Prov. Vlaams-Brabant",6.09064566117311,39900,100.8,145.73,544.7,0.00296885928850217,2774.62,49.9745821253602,1.06112901549018,25314.58,33800,70.1,0.464,1.6009,0.106,83.4,0.052,603677,3676782.7008,4.98182421224214,6.30025354295068,0.476793029021783,10.1391361883416,0.011236,0.001191016,0.000126247696
2019,"BE25","Prov. West-Vlaanderen",6.56593988581667,35700,101.1,897.27,380.8,0.000486022040391757,2602.44,51.7092284999679,1.03146377375034,24247.39,27700,72.4,0.3585,1.58463,0.114,83.2,0.084,694322,4558876.5134,6.79936796496612,5.94230056307661,0.466641734404834,10.0960646741227,0.012996,0.001481544,0.000168896016
2019,"BE31","Prov. Brabant Wallon",4.15896036970447,49600,119.6,48.74,369.7,0.0065772874564029,3208.5,49.5915836793307,1.09013558835428,8423.87,31500,65.2,0.518,1.55482,0.16,83,0.063,199673,830432.0939,3.88670519744386,5.91271891453539,0.447770801402831,9.03882580869811,0.0256,0.004096,0.00065536
2019,"BE32","Prov. Hainaut",3.25154320533771,22800,99.9,385.32,354.8,0.000465471871279722,4361.39,49.3858721389848,1.08208567635114,22299.43,20900,55.7,0.3005,1.6254,0.295,79.6,0.069,597859,1943964.3692,5.95410011000777,5.87158243493114,0.49188742274574,10.0123168450253,0.087025,0.025672375,0.007573350625
2019,"BE33","Prov. Liège",3.40209005377972,26100,100.1,537.63,289.7,0.000677658041237403,4793.32,49.2714451307188,1.06216089912844,18998.66,22700,59,0.35,1.62042,0.253,80.6,0.082,478805,1628937.7282,6.28718919120295,5.66888042264694,0.488837650339446,9.85212425569846,0.064009,0.016194277,0.004097152081
2019,"BE34","Prov. Luxembourg (BE)",3.78817437574791,22500,100.5,165.13,64.6,0.000639615686075257,2782.15,48.4057346519107,1.01823043266894,5180.69,25000,65.3,0.3785,1.76202,0.181,80.6,0.079,112815,427362.8922,5.10679359898928,4.16836919757007,0.572120138800911,8.55269546125873,0.032761,0.005929741,0.001073283121
2019,"BE35","Prov. Namur",3.54730589359683,24500,99.4,182.91,135.9,0.00190223108683865,3435.16,49.1314193512491,1.05761655226964,8742.37,24700,60.8,0.355177588794397,1.53616,0.206,80.3,0.051,228621,810988.6207,5.20904889878985,4.91199290196726,0.435774437695075,9.07593774279243,0.042436,0.008741816,0.001800814096
2019,"BG31","Северозападен",5.50576644291796,10100,116.4,120,39,-0.00150211679338923,672.1,53.5290444482949,1.0770053365963,5172.02,3300,60.2,0.1815,1.90808,0.413,73.7,0.075,191435,1053996.399,4.78757507264335,3.66381802351856,0.651324685706107,8.55102054033896,0.170569,0.070444997,0.029093783761
2019,"BG32","Северен централен",5.50322384646839,11100,109.7,119,53.1,-0.000727737958438983,539.81,52.9067078033158,1.10423186091593,5990.88,3900,69.8,0.2535,1.77018,0.359,74.6,0.086,185864,1022851.197,4.77920752319435,3.97236523443431,0.576714482786853,8.69799526104072,0.128881,0.046268279,0.016610312161
2019,"BG33","Североизточен",5.41235247229182,12900,109.1,142,63.7,0.000721024085914746,763.06,51.064390414721,1.0909684086212,6828.11,3800,67.7,0.217608804402201,1.83009,0.347,75,0.155,206347,1116822.6956,4.95589747765692,4.1543415361284,0.609814483468169,8.82880465845234,0.120409,0.041781923,0.014498327281
2019,"BG34","Югоизточен",5.47393741022362,12600,105,163,52.5,0.000170847208019723,723.59,51.4693493109827,1.09704935820117,7663.73,3700,69.8,0.2016008004002,2.15573,0.366,74.5,0.1,213447,1168395.5184,5.0938115486182,3.96100362764977,0.772757487069264,8.94425539423181,0.133956,0.049027896,0.017944209936
2019,"BG41","Югозападен",5.78188777780486,27900,108.8,54,103.7,0.00144579654803185,950.81,49.6757574096834,1.11552849730068,28664.37,8400,75.8,0.3695,1.53127,0.227,76,0.054,410270,2372135.0986,3.9891692146048,4.64159854260164,0.432606751892353,10.2634105159441,0.051529,0.011697083,0.002655237841
2019,"BG42","Южен централен",5.49701858908623,11600,111.1,224,63.7,0.000360822979986248,391.76,51.6251216814655,1.10083251023,10778.85,3900,69.5,0.213,1.87979,0.377,75.6,0.089,329602,1811828.321,5.41169069371572,4.1543415361284,0.636465711787143,9.28534208747945,0.142129,0.053582633,0.020200652641
2019,"CY00","Κύπρος",5.15099650384557,29100,104.2,238.76,95.7,0.0089119864276589,216.92,46.4963391660404,1.06889251338934,15554.51,16300,70.5,0.423711855927964,1.33,0.223,82.3,0.116,250418,1289902.2425,5.47550074548587,4.56132278620781,0.29266961396282,9.65210655061068,0.049729,0.011089567,0.002472973441
2019,"CZ01","Praha",6.57341918813318,64600,108.3,4.58,2714.3,0.0130342219967111,2404.34,48.77443798022,1.07496290973156,24014.69,16900,79.3,0.433,1.52,0.079,81,0.154,301749,1983522.6666,1.52388002407245,7.90629305642166,0.425267735404344,10.0864214218285,0.006241,0.000493039,3.8950081e-05
2019,"CZ02","Střední Čechy",6.36658567652527,26800,116.8,393.2,128.5,0.00994937677641361,772.35,49.0355393922927,1.04401779398824,20723.46,13700,77.1,0.2185,1.76,0.096,79.4,0.138,267854,1705315.4398,5.97434382029956,4.85600672231905,0.570979546585738,9.93902215339418,0.009216,0.000884736,8.4934656e-05
2019,"CZ03","Jihozápad",6.22899798339567,24500,110,708.66,71.8,0.00231513137161914,713.24,49.7690333225926,1.03438975187424,16513.95,12000,75.4,0.191808191808192,1.72,0.096,79.5,0.173,234999,1463808.2971,6.56338997389158,4.27402374212223,0.548121408509688,9.71196136278721,0.009216,0.000884736,8.4934656e-05
2019,"CZ04","Severozápad",6.1722464757089,20100,102.9,103.92,131.7,0.00078716464299886,876.58,49.3828059814675,1.03328716652324,13855.3,11000,72.4,0.144072036018009,1.71,0.215,77.7,0.159,166913,1030228.176,4.64371759560033,4.88060253601096,0.542324290825362,9.53642383164078,0.046225,0.009938375,0.002136750625
2019,"CZ05","Severovýchod",6.2875073024948,23800,113.2,617.44,123.7,0.00077497221006678,550.59,49.7634705477763,1.04364055880071,20199.28,11800,74.8,0.1895,1.76,0.129,79.7,0.151,300144,1887157.5918,6.42559809356383,4.81794011687474,0.570979546585738,9.91340273425672,0.016641,0.002146689,0.000276922881
2019,"CZ06","Jihovýchod",6.19969144657582,26300,107.7,772.37,124,0.00170521280928991,703.79,49.6113568810281,1.04886753034616,23390.25,12300,74.9,0.2455,1.77,0.125,79.9,0.152,341980,2120170.4809,6.6494766568996,4.82036220751468,0.576613364303994,10.0600749753779,0.015625,0.001953125,0.000244140625
2019,"CZ07","Střední Morava",6.21749639067747,23600,110.1,367.51,133.2,5.44902171881592e-05,504.2,49.9276241091677,1.06153015145056,15481,11100,73.8,0.1895,1.67,0.129,79.3,0.165,231096,1436838.5459,5.90677773894079,4.89192683036337,0.518793793415168,9.64736939049336,0.016641,0.002146689,0.000276922881
2019,"CZ08","Moravskoslezsko",6.04133566370174,22800,102.2,188.12,226.2,-0.00115100236931968,1019.94,49.5600315291538,1.05840349190526,15041.78,10900,72.7,0.193096548274137,1.66,0.149,77.9,0.11,199668,1206261.4093,5.23713321322304,5.42146377136974,0.512823626428664,9.61858760637944,0.022201,0.003307949,0.000492884401
2019,"DE11","Stuttgart",5.09817567522778,48300,99.7,699.16,393.3,0.000206106144651845,1251.49,49.9111151248521,1.01583557595905,98339.91,34500,79.5,0.32,1.58,0.133,82.6,0.095,1562880,7967836.7993,6.54989391724234,5.97459810499808,0.46373401623214,11.4961853274614,0.017689,0.002352637,0.000312900721
2019,"DE12","Karlsruhe",5.05116668936251,41700,102.8,162.91,409.3,0.000605923168823026,1512.91,49.9308393105376,1.02603384511935,63237.74,31900,77.8,0.306846576711644,1.51,0.145,81.8,0.087,1073618,5423023.4787,5.09325928278021,6.0144728151569,0.418710334858185,11.0546567119428,0.021025,0.003048625,0.000442050625
2019,"DE13","Freiburg",4.95272330086542,36200,102.8,398.26,244.9,0.000156154087919797,1443.97,50.3246145858764,1.04378145007806,52256.16,31600,79.5,0.288,1.6,0.135,82.3,0.09,874607,4331686.468,5.98713016724043,5.50089079611754,0.476234178996372,10.8639132489798,0.018225,0.002460375,0.000332150625
2019,"DE14","Tübingen",5.08523805948289,41200,104.9,1133.78,214.2,0.00035855495832118,1147.1,49.9203709071722,1.02535327961961,43083.87,32700,79.8,0.296,1.61,0.141,82.4,0.079,744214,3784505.3572,7.03332128195362,5.36695684226472,0.482426149244293,10.6709041922101,0.019881,0.002803221,0.000395254161
2019,"DE21","Oberbayern",5.60053436634712,55300,101.7,2503.47,273.4,0.000417983884018174,1110.91,49.3978911598852,1.03590602536197,124419,40500,81.2,0.379310344827586,1.52,0.148,82.8,0.08,1720887,9637886.7841,7.82543704292243,5.61097250006572,0.425267735404344,11.7314102611172,0.021904,0.003241792,0.000479785216
2019,"DE22","Niederbayern",6.50002211816239,36700,101.6,1005.9,121,0.000327412099429236,831.3,50.3529803263594,1.00469584190151,27485.01,30400,80.1,0.214107053526763,1.56,0.209,81.4,0.1,436501,2837266.1546,6.91364788343694,4.79587318680996,0.451075619360217,10.2213964079641,0.043681,0.009129329,0.001908029761
2019,"DE23","Oberpfalz",6.16094683066882,39700,101.1,1187.49,115.2,0.000298788352449703,1000.49,50.1718302033917,1.01653083824306,24157.1,30300,79.3,0.2455,1.59,0.173,81.3,0.1,413084,2544988.5606,7.0796055359088,4.74675655004996,0.470003629245736,10.0923340256885,0.029929,0.005177717,0.000895745041
2019,"DE24","Oberfranken",5.92691207340882,35700,103.5,632.02,147.8,0.000184889774641783,964.52,51.3981501545592,1.04386416840659,22951.93,28500,79.8,0.245,1.52,0.187,81.2,0.052,409760,2428611.4912,6.4489368613747,4.99592766522398,0.425267735404344,10.0411577435065,0.034969,0.006539203,0.001222830961
2019,"DE25","Mittelfranken",5.5332235332913,42400,103.9,768.89,245.7,0.000474483650988104,1324.78,50.1650863971545,1.04604252270593,39793.05,31900,77.7,0.288,1.54,0.184,81.3,0.091,655021,3624377.612,6.64496092203813,5.50415197873961,0.438254930931155,10.5914478042087,0.033856,0.006229504,0.001146228736
2019,"DE26","Unterfranken",5.79090004083438,38000,102.2,212.15,155.1,0.000213365594190784,883.29,51.0072657154015,1.03017702290971,28955.44,30100,78.9,0.269865067466267,1.56,0.175,82.1,0.086,528966,3063189.231,5.3573407069975,5.04413454263666,0.451075619360217,10.2735137208964,0.030625,0.005359375,0.000937890625
2019,"DE27","Schwaben",5.90594641527051,37300,102,1994.42,191.5,0.000221813462595745,947.73,50.3223581403346,1.02120840819815,42885.69,31400,79.9,0.259870064967516,1.63,0.163,82.1,0.102,657581,3883638.1497,7.59811357421415,5.25494002657847,0.494696241836107,10.6662937160149,0.026569,0.004330747,0.000705911761
2019,"DE30","Berlin",4.27370510878236,38900,104.7,1.02,4322.9,0.00437743804505345,5004.74,48.7530684370762,1.05070031970385,71150.95,26400,74.9,0.407703851925963,1.41,0.193,81.5,0.069,1261142,5389749.0083,0.0295588022415444,8.37168406557513,0.350656871613169,11.1725590960482,0.037249,0.007189057,0.001387488001
2019,"DE40","Brandenburg",5.08053790039242,27400,102.9,852.545277777778,86.7,0.000297409929078051,1848.6,53.6263431485209,1.04269818026878,49477.17,24000,78.1,0.272863568215892,1.59,0.17,81.2,0.03,1007855,5120445.5256,6.74823804902359,4.46256921738907,0.470003629245736,10.8092668321579,0.0289,0.004913,0.00083521
2019,"DE50","Bremen",4.45328919088719,44100,96.9,27.12,1744.5,0.00365406204126203,3917.94,49.7962401656604,1.03758991909949,13544.77,26200,71.9,0.264735264735265,1.6,0.265,80.7,0.088,261039,1162482.1571,3.30064012667084,7.46422899291192,0.476234178996372,9.51375651223151,0.070225,0.018609625,0.004931550625
2019,"DE60","Hamburg",4.25125531663381,61300,100.4,7.51,2597.5,0.00309421300156041,4290.56,48.2742620461315,1.06179014303299,42453.09,34200,76.9,0.3485,1.46,0.237,81.5,0.062,697904,2966968.0905,2.01756613796175,7.8623085728216,0.385262400790645,10.6561552161638,0.056169,0.013312053,0.003154956561
2019,"DE71","Darmstadt",4.80229405966831,48000,100.1,196.93,542.2,0.00018046598443367,1821.36,49.9867719989606,1.0461555276717,91784.46,33700,76.3,0.324,1.55,0.135,82.1,0.098,1411369,6777808.9647,5.28289911381966,6.29565338027331,0.444685821261446,11.4271983901841,0.018225,0.002460375,0.000332150625
2019,"DE72","Gießen",4.91599395811195,32300,104.7,253.55,194.9,0.00272152725176531,1273.51,50.2049460273022,1.04052083284953,21472.97,27200,73.7,0.266,1.45,0.171,81,0.105,382066,1878234.1476,5.53560048141597,5.27253791356055,0.378436435720245,9.97455067956447,0.029241,0.005000211,0.000855036081
2019,"DE73","Kassel",4.89030225856124,34300,102.9,542.5,147.5,0.000283410596942782,1478.17,51.5651489481307,1.03279768281554,25023.29,26300,77,0.239880059970015,1.58,0.153,81.3,0.085,461090,2254869.4684,6.29620651842445,4.99389597009196,0.46373401623214,10.127562669808,0.023409,0.003581577,0.000547981281
2019,"DE80","Mecklenburg-Vorpommern",5.06145898523203,26800,105.1,1486.96,71.3,0.000565521165142606,1630.94,53.3145033483124,1.04204739529277,30264.71,21600,74.9,0.246,1.54,0.232,80.3,0.033,650868,3294341.6868,7.30449577140795,4.26703657004021,0.438254930931155,10.3177379566722,0.053824,0.012487168,0.002897022976
2019,"DE91","Braunschweig",4.78258885259152,46400,117.8,183.13,197.3,0.00138298418738639,1776.42,51.3407055906574,1.03406333767734,33212.33,28000,74.4,0.272,1.55,0.181,80.6,0.084,653246,3124207.0376,5.21025088767959,5.28477609598137,0.444685821261446,10.4106767725932,0.032761,0.005929741,0.001073283121
2019,"DE92","Hannover",4.72988698940562,36100,102.7,612.2,239,0.000474317312499863,2204.8,51.2499930541587,1.05658106902017,43968.69,27500,75.3,0.264132066033017,1.53,0.176,81,0.069,901327,4263174.8505,6.4170753609091,5.47650539206038,0.431782416425538,10.6912332961249,0.030976,0.005451776,0.000959512576
2019,"DE93","Lüneburg",4.86850225685158,26600,101.2,2838.67,111.4,0.000151766776609204,1751.29,51.916607309767,1.0445524037576,36559.28,28500,77.7,0.223,1.68,0.162,80.9,0.079,759022,3695300.32,7.95109443437509,4.71321709007123,0.524728528934982,10.5066906052482,0.026244,0.004251528,0.000688747536
2019,"DE94","Weser-Ems",4.84811236700898,33400,101.2,3608.83,169.8,0.000334229226837893,1647.67,50.3901225296386,1.02868960772959,51400.34,27000,76.5,0.211605802901451,1.66,0.171,81,0.099,1059658,5137341.0546,8.19114167004961,5.13468016495821,0.512823626428664,10.8474002607586,0.029241,0.005000211,0.000855036081
2019,"DEA1","Düsseldorf",4.82418389255446,38500,100.5,1061.79,1006.7,0.000220709488761295,2548.52,51.0000992214911,1.0713496527339,107995.6,28500,72.5,0.2475,1.55,0.205,80.7,0.109,1971194,9509402.3439,6.96772086014957,6.91444286713195,0.444685821261446,11.5898458571321,0.042025,0.008615125,0.001766100625
2019,"DEA2","Köln",4.7386827133832,39500,99.1,656.69,613.4,0.000224750205219848,2601.24,49.9434003586351,1.058509917418,94356.4,29800,73.6,0.28735632183908,1.5,0.197,81.3,0.08,1842003,8728667.7741,6.48722729319693,6.41903355412307,0.412109650826833,11.4548344870157,0.038809,0.007645373,0.001506138481
2019,"DEA3","Münster",4.85499021566414,31500,102.2,906.14,380.1,0.000448392934271446,2028.68,50.5077037332522,1.05176081438372,53563.27,27100,74.7,0.238,1.62,0.184,81.1,0.087,1125871,5466092.6891,6.80920485525286,5.94046068451522,0.488580014818671,10.8886190376612,0.033856,0.006229504,0.001146228736
2019,"DEA4","Detmold",4.84383160948941,35800,101,478.9,316.3,0.000518974041191021,1598.09,50.6796450424642,1.04588861209277,43890.2,28300,76,0.223,1.66,0.155,81.6,0.103,842497,4080913.5995,6.17151268831661,5.7567227453667,0.512823626428664,10.6894465673598,0.024025,0.003723875,0.000577200625
2019,"DEA5","Arnsberg",4.86410274311335,32600,100.7,533.82,449.1,0.00043382717068257,2299.9,51.0397001014847,1.05261111449583,72662.83,26700,72.8,0.215,1.58,0.185,80.4,0.093,1402895,6823825.4178,6.2800774362155,6.10726784660153,0.46373401623214,11.193585391166,0.034225,0.006331625,0.001171350625
2019,"DEB1","Koblenz",5.11595285119497,31400,102,270.89,186.7,0.000141614143831752,1387.21,51.7924472967599,1.04113969864614,31570.35,27800,77.5,0.2455,1.62,0.198,81.1,0.102,642485,3286922.9676,5.60174974909105,5.22955661097724,0.488580014818671,10.3599739847179,0.039204,0.007762392,0.001536953616
2019,"DEB2","Trier",4.98492585474513,28400,102.4,474.98,108.5,0.00290929507328272,1379.84,50.6446997508483,1.02406198650967,11058.82,28400,79.6,0.273,1.49,0.214,81.7,0.075,231648,1154748.1044,6.16329375118145,4.68684233463212,0.405465108108164,9.31098448286208,0.045796,0.009800344,0.002097273616
2019,"DEB3","Rheinhessen-Pfalz",5.07595393506962,34500,98.3,90.92,303.2,0.000107517857931558,1752.12,50.8129026417302,1.04652436076956,44159.24,29900,74.9,0.279,1.54,0.165,81.3,0.095,851281,4321063.1418,4.51008997973782,5.71442563475468,0.438254930931155,10.6955576971111,0.027225,0.004492125,0.000741200625
2019,"DEC0","Saarland",4.99370024137429,32900,96.6,95.31,385.5,0.000928182119194248,2365.96,52.1804780277478,1.05621566092898,19353.75,25000,73.6,0.2345,1.45,0.216,80.2,0.089,439152,2192993.4484,4.55723965223054,5.95456713300416,0.378436435720245,9.87064199482664,0.046656,0.010077696,0.002176782336
2019,"DED2","Dresden",5.7854335404189,29600,102.1,804.71,205.6,0.00153234605800088,1988.8,53.2845104181056,1.03554302476688,30724.19,22300,79.5,0.296851574212894,1.6,0.166,81.9,0.044,698584,4041611.3044,6.69049439082608,5.32598117053051,0.476234178996372,10.3328058966665,0.027556,0.004574296,0.000759333136
2019,"DED4","Chemnitz",5.75820267220795,26800,103.1,599.74,219.9,0.000417322693640012,1435.23,54.9558340466554,1.05141023940747,27495.15,20800,78.9,0.241379310344828,1.68,0.183,80.8,0.039,608523,3503998.7647,6.3965129017198,5.39321837174276,0.524728528934982,10.2217652681648,0.033489,0.006128487,0.001121513121
2019,"DED5","Leipzig",5.15069574989083,31100,104,276.14,268.4,0.000467661110426531,3438.16,51.0591369673549,1.05055472361938,19848.79,23400,77.3,0.320339830084957,1.42,0.202,81,0.032,414507,2134999.4432,5.6209441963472,5.59251566222761,0.357674444271816,9.89589883088745,0.040804,0.008242408,0.001664966416
2019,"DEE0","Sachsen-Anhalt",5.2440080943674,26600,103.7,852.545277777778,108.7,0.00039972193435685,2368.3,53.9130031590099,1.0484961311709,40798.29,20800,75.7,0.2175,1.56,0.186,80,0.036,824734,4324911.7717,6.74823804902359,4.68868378621591,0.451075619360217,10.6163956928575,0.034596,0.006434856,0.001196883216
2019,"DEF0","Schleswig-Holstein",4.65374990867546,31100,102.4,3044.86,188.2,0.000185224259842545,2170,51.7400228562756,1.05945600233744,63162.57,28500,77.4,0.23,1.54,0.208,80.9,0.088,1205043,5607968.7512,8.02121348629338,5.23755836070247,0.438254930931155,11.0534673161737,0.043264,0.008998912,0.001871773696
2019,"DEG0","Thüringen",5.41893000574488,27000,102.5,939.87,132.4,0.00020195659457275,1426.82,53.5268033697362,1.03409509087513,40198.92,21800,77.6,0.267633816908454,1.56,0.193,80.7,0.026,892969,4838936.5083,6.8457522075404,4.88590316935167,0.451075619360217,10.6015956573375,0.037249,0.007189057,0.001387488001
2019,"DK01","Hovedstaden",4.75054782961658,50900,105.3,79,756,-0.000873302569531546,6518.45,47.2597617048608,1.06017765106438,31990.05,37000,76.8,0.4835,1.66,0.175,81.5,0.056,780968,3710025.8374,4.36957442673464,6.62805460360528,0.512823626428664,10.3731805085279,0.030625,0.005359375,0.000937890625
2019,"DK02","Sjælland",5.28170564078959,27500,103.1,152,118.3,0.00213410739327566,3960.5,51.6084372957416,1.02208941743188,13646.28,30300,73.6,0.27736131934033,1.76,0.123,80.8,0.1,360641,1904799.604,5.02394630815593,4.77330829826557,0.570979546585738,9.52122296879839,0.015129,0.001860867,0.000228886641
2019,"DK03","Syddanmark",5.40877234606448,35300,100.4,2190,102,-0.000441493624599208,3920.38,50.4566763532734,1.01043397191185,19343.56,29000,73.9,0.302848575712144,1.73,0.166,81.5,0.069,523336,2830605.2845,7.69166138901017,4.62507084769443,0.553885113226438,9.87011534349253,0.027556,0.004574296,0.000759333136
